ID,wage_rate,consump,labor_hours
1,20.47,31750.42,1838
2,14.94,23850.78,1786
3,18.21,29353.25,1768
4,16.87,27026.85,1779
5,24.1,37958.91,1810
6,28.0,44150.11,1808
7,16.73,26000.37,1834
8,37.91,60274.11,1793
9,36.25,57380.43,1801
10,23.44,37207.18,1796
11,26.21,41836.47,1786
12,14.86,23548.38,1799
13,26.93,42080.09,1824
14,17.8,28445.97,1784
15,26.82,42170.28,1813
16,20.03,31500.31,1813
17,15.19,24212.07,1789
18,26.76,42393.94,1800
19,13.88,21535.13,1837
20,19.61,30715.37,1820
21,19.77,31290.48,1801
22,23.91,37997.43,1794
23,15.61,25399.29,1751
24,11.48,17605.73,1857
25,16.74,26505.03,1801
26,24.62,38793.2,1809
27,15.11,23944.21,1799
28,22.56,36835.65,1744
29,21.4,33642.87,1813
30,20.5,31864.38,1834
31,25.05,39521.19,1807
32,27.23,42469.67,1828
33,29.5,46111.43,1824
34,18.6,28729.15,1845
35,28.47,44667.76,1817
36,18.84,29386.59,1828
37,24.43,38659.63,1801
38,18.07,28743.47,1792
39,19.88,30703.79,1845
40,15.7,25379.16,1763
41,11.97,19305.64,1767
42,16.98,26488.88,1828
43,20.51,31414.0,1859
44,30.35,48397.84,1788
45,18.49,29087.07,1812
46,25.91,41414.31,1784
47,18.67,29289.43,1818
48,18.83,29139.1,1842
49,12.3,19264.71,1820
50,23.3,37141.11,1789
51,30.52,48743.18,1785
52,13.85,21423.54,1842
53,19.98,31270.83,1821
54,12.61,20317.23,1768
55,21.21,33562.4,1801
56,25.46,40809.86,1778
57,18.24,29956.52,1734
58,18.18,28704.2,1806
59,22.31,36010.08,1765
60,18.68,30403.98,1750
61,28.39,44276.86,1828
62,20.53,32109.23,1822
63,20.13,31840.93,1803
64,14.51,22798.09,1815
65,16.65,27176.64,1745
66,21.48,34649.82,1767
67,19.56,31178.14,1789
68,22.33,35085.96,1815
69,20.32,32353.54,1790
70,13.97,21915.63,1818
71,31.23,49730.46,1790
72,23.44,36258.1,1842
73,22.06,35163.83,1788
74,32.51,51790.07,1790
75,20.48,32260.35,1810
76,27.97,44490.04,1793
77,20.83,33468.86,1775
78,16.7,26410.86,1803
79,16.82,26512.67,1808
80,14.57,23109.88,1797
81,15.1,24356.98,1767
82,23.06,35407.84,1855
83,18.26,28682.45,1815
84,30.18,48180.55,1786
85,18.85,30235.48,1778
86,12.84,20741.18,1764
87,23.9,38317.82,1778
88,13.15,21654.36,1728
89,25.8,41131.79,1788
90,18.61,29810.61,1780
91,13.57,21761.38,1777
92,26.53,42033.43,1800
93,17.65,28209.64,1783
94,14.28,22963.52,1772
95,34.07,53876.65,1803
96,25.69,40795.03,1795
97,18.09,29466.33,1749
98,16.22,26185.48,1766
99,22.72,35998.73,1800
100,18.02,28319.08,1814
